"('mid',)","('genre',)"
tt0003360,Short
tt0003399,Comedy
tt0003399,Short
tt0003399,Sport
tt0003419,Drama
tt0003419,Fantasy
tt0003419,Horror
tt0003424,Drama
tt0003424,Short
tt0003424,Thriller
tt0003471,Crime
tt0003471,Drama
tt0003489,Adventure
tt0003489,Drama
tt0003512,Comedy
tt0003512,Short
tt0003615,Comedy
tt0003615,Short
tt0003637,Drama
tt0003643,Crime
tt0003643,Drama
tt0003643,Horror
tt0003657,Western
tt0003662,Action
tt0003662,Short
tt0003662,Western
tt0003679,Comedy
tt0003679,Short
tt0003733,Comedy
tt0003733,Short
tt0003734,Action
tt0003734,Drama
tt0003734,Short
tt0003740,Adventure
tt0003740,Drama
tt0003740,History
tt0003758,Comedy
tt0003758,Short
tt0003760,Comedy
tt0003760,Short
tt0003772,Drama
tt0003772,Fantasy
tt0003805,Comedy
tt0003805,Short
tt0003839,Drama
tt0003839,Short
tt0003863,Comedy
tt0003863,Short
tt0003883,Crime
tt0003883,Drama
tt0003923,Comedy
tt0003923,Short
tt0003930,Crime
tt0003930,Drama
tt0003934,Comedy
tt0003934,Short
tt0003949,Comedy
tt0003949,Short
tt0003952,Crime
tt0003952,Drama
tt0003961,Comedy
tt0003961,Short
tt0003969,Comedy
tt0003969,Short
tt0003973,Comedy
tt0004007,Comedy
tt0004007,Short
tt0004008,Animation
tt0004008,Comedy
tt0004008,Family
tt0004011,Comedy
tt0004011,Short
tt0004026,Horror
tt0004039,Comedy
tt0004039,Short
tt0004052,Action
tt0004060,Comedy
tt0004060,Short
tt0004066,Drama
tt0004066,Mystery
tt0004074,Comedy
tt0004074,Short
tt0004091,Comedy
tt0004091,Short
tt0004099,Adventure
tt0004099,Comedy
tt0004099,Family
tt0004100,Comedy
tt0004100,Short
tt0004101,Comedy
tt0004101,Short
tt0004102,Comedy
tt0004102,Short
tt0004108,Comedy
tt0004108,Short
tt0004134,Drama
tt0004134,Fantasy
tt0004150,Drama
tt0004150,History
tt0004181,Drama
tt0004189,Comedy
tt0004189,Short
tt0004194,Comedy
tt0004194,Short
tt0004210,Comedy
tt0004210,Short
tt0004212,Comedy
tt0004212,Short
tt0004277,Comedy
tt0004277,Short
tt0004279,Comedy
tt0004279,Short
tt0004280,Comedy
tt0004280,Short
tt0004282,Comedy
tt0004282,Short
tt0004284,Comedy
tt0004284,Short
tt0004286,Adventure
tt0004286,Family
tt0004286,Fantasy
tt0004288,Comedy
tt0004288,Short
tt0004311,Comedy
tt0004311,Short
tt0004390,Drama
tt0004393,Short
tt0004395,Comedy
tt0004395,Short
tt0004408,Comedy
tt0004408,Short
tt0004413,Comedy
tt0004413,Drama
tt0004413,Romance
tt0004457,Adventure
tt0004457,Comedy
tt0004457,Family
tt0004465,Action
tt0004465,Adventure
tt0004465,Drama
tt0004499,Comedy
tt0004499,Short
tt0004518,Comedy
tt0004518,Short
tt0004546,Comedy
tt0004546,Short
tt0004635,Action
tt0004635,Drama
tt0004635,Romance
tt0004637,Comedy
tt0004637,Short
tt0004670,Comedy
tt0004670,Short
tt0004681,Drama
tt0004693,Comedy
tt0004693,Short
tt0004707,Comedy
tt0004712,Drama
tt0004730,Animation
tt0004730,Comedy
tt0004730,Fantasy
tt0004736,Comedy
tt0004736,Short
tt0004743,Drama
tt0004766,Western
tt0004825,Comedy
tt0004825,Drama
tt0004825,Romance
tt0004838,Drama
tt0004838,Romance
tt0004872,Crime
tt0004872,Drama
tt0004873,Adventure
tt0004873,Family
tt0004873,Fantasy
tt0004936,Comedy
tt0004936,Short
tt0004971,Comedy
tt0004971,Short
tt0004972,Drama
tt0004972,History
tt0004972,War
tt0005044,Comedy
tt0005044,Short
tt0005059,Drama
tt0005059,Romance
tt0005059,War
tt0005060,Drama
tt0005074,Comedy
tt0005074,Short
tt0005074,Sport
tt0005077,Comedy
tt0005077,Short
tt0005078,Drama
tt0005078,Romance
tt0005084,Drama
tt0005147,Comedy
tt0005147,Short
tt0005149,Drama
tt0005149,History
tt0005149,War
tt0005198,Animation
tt0005198,Comedy
tt0005198,Short
tt0005204,Comedy
tt0005204,Short
tt0005205,Comedy
tt0005205,Short
tt0005214,Comedy
tt0005214,Romance
tt0005220,Animation
tt0005220,Comedy
tt0005220,Short
tt0005246,Drama
tt0005246,Short
tt0005302,Drama
tt0005309,Comedy
tt0005309,Short
tt0005310,Comedy
tt0005310,Short
tt0005312,Comedy
tt0005312,Short
tt0005313,Comedy
tt0005313,Short
tt0005314,Comedy
tt0005314,Short
tt0005315,Comedy
tt0005315,Short
tt0005317,Comedy
tt0005317,Short
tt0005336,Comedy
tt0005336,Sci-Fi
tt0005336,Short
tt0005339,Drama
tt0005354,Comedy
tt0005354,Short
tt0005402,Drama
tt0005414,Drama
tt0005414,Short
tt0005436,Comedy
tt0005436,Short
tt0005489,Comedy
tt0005489,Short
tt0005529,Crime
tt0005529,Drama
tt0005529,Horror
tt0005542,Comedy
tt0005542,Short
tt0005557,Drama
tt0005571,Comedy
tt0005571,Short
tt0005622,Animation
tt0005622,Drama
tt0005622,Short
tt0005654,Action
tt0005654,Comedy
tt0005654,Short
tt0005660,Comedy
tt0005660,Short
tt0005661,Comedy
tt0005661,Short
tt0005675,Comedy
tt0005675,Documentary
tt0005675,Short
tt0005676,Comedy
tt0005676,Short
tt0005677,Comedy
tt0005677,Short
tt0005678,Comedy
tt0005678,Short
tt0005679,Comedy
tt0005679,Short
tt0005680,Adventure
tt0005719,Drama
tt0005719,History
tt0005719,War
tt0005753,Comedy
tt0005753,Short
tt0005809,Drama
tt0005810,Comedy
tt0005810,Short
tt0005812,Comedy
tt0005812,Short
tt0005864,Comedy
tt0005864,Short
tt0005891,Animation
tt0005891,Comedy
tt0005891,Short
tt0005910,Comedy
tt0005910,Short
tt0005916,Drama
tt0005951,Drama
tt0005951,Fantasy
tt0005951,Horror
tt0005955,Biography
tt0005955,Drama
tt0005960,Biography
tt0005960,Crime
tt0005960,Drama
tt0006032,Comedy
tt0006032,Short
tt0006115,Comedy
tt0006115,Short
tt0006145,Comedy
tt0006145,Short
tt0006177,Comedy
tt0006177,Short
tt0006182,Drama
tt0006206,Action
tt0006206,Adventure
tt0006206,Crime
tt0006296,Comedy
tt0006296,Short
tt0006309,Comedy
tt0006309,Short
tt0006313,Comedy
tt0006313,Short
tt0006327,Comedy
tt0006327,Romance
tt0006333,Action
tt0006333,Adventure
tt0006333,Sci-Fi
tt0006349,Comedy
tt0006349,Short
tt0006357,Adventure
tt0006357,Comedy
tt0006357,Drama
tt0006405,Documentary
tt0006405,War
tt0006414,Comedy
tt0006414,Romance
tt0006414,Short
tt0006449,Animation
tt0006449,Comedy
tt0006449,Short
tt0006482,Drama
tt0006494,Drama
tt0006494,Short
tt0006509,Drama
tt0006517,Drama
tt0006517,War
tt0006548,Comedy
tt0006548,Short
tt0006562,Comedy
tt0006562,Short
tt0006589,Drama
tt0006614,Drama
tt0006614,History
tt0006614,Romance
tt0006617,Comedy
tt0006617,Crime
tt0006617,Drama
tt0006664,Drama
tt0006668,Comedy
tt0006668,Short
tt0006684,Comedy
tt0006684,Short
tt0006688,Adventure
tt0006688,Comedy
tt0006689,Comedy
tt0006689,Short
tt0006731,Crime
tt0006731,Drama
tt0006736,Romance
tt0006736,Western
tt0006745,Crime
tt0006745,Drama
tt0006745,Romance
tt0006753,Western
tt0006764,Comedy
tt0006764,Drama
tt0006764,Short
tt0006780,Romance
tt0006780,Western
tt0006801,Comedy
tt0006801,Short
tt0006801,Western
tt0006809,Comedy
tt0006826,Comedy
tt0006826,Drama
tt0006826,Romance
tt0006864,Drama
tt0006864,History
tt0006886,Adventure
tt0006886,Crime
tt0006978,Comedy
tt0006978,Short
tt0006997,Action
tt0006997,Drama
tt0006997,War
