"('mid',)","('pid',)"
tt0007047,nm0256221
tt0007047,nm0317476
tt0007047,nm0002616
tt0007108,nm0115218
tt0007108,nm0002616
tt0007145,nm0000122
tt0007145,nm0117018
tt0007145,nm1176713
tt0007162,nm0000122
tt0007162,nm0117018
tt0007162,nm1176713
tt0007177,nm0694632
tt0007183,nm0701090
tt0007183,nm0652974
tt0007183,nm0698839
tt0007194,nm0000122
tt0007257,nm0048874
tt0007257,nm0813905
tt0007260,nm0837989
tt0007264,nm0117018
tt0007264,nm0000122
tt0007264,nm1176713
tt0007309,nm0473134
tt0007309,nm0778218
tt0007338,nm0791024
tt0007338,nm0319069
tt0007338,nm0236279
tt0007340,nm0916665
tt0007340,nm0380814
tt0007340,nm0011629
tt0007361,nm0024758
tt0007361,nm0342278
tt0007361,nm0342303
tt0007361,nm1331503
tt0007367,nm0256221
tt0007367,nm0002616
tt0007368,nm0934979
tt0007439,nm0143975
tt0007459,nm0894015
tt0007476,nm0000122
tt0007476,nm0925118
tt0007507,nm0000122
tt0007507,nm0117018
tt0007507,nm1176713
tt0007522,nm0051911
tt0007522,nm0260081
tt0007522,nm0830249
tt0007558,nm0668525
tt0007558,nm0355582
tt0007558,nm0916665
tt0007558,nm0806565
tt0007567,nm0215877
tt0007610,nm0177342
tt0007610,nm0049995
tt0007613,nm0117018
tt0007613,nm0000122
tt0007613,nm1176713
tt0007617,nm0566338
tt0007624,nm0907778
tt0007686,nm0907778
tt0007709,nm0907778
tt0007720,nm0403319
tt0007755,nm0387000
tt0007761,nm0000779
tt0007761,nm0730039
tt0007764,nm0907778
tt0007801,nm0353584
tt0007801,nm0413248
tt0007801,nm0603447
tt0007801,nm0765026
tt0007802,nm0784407
tt0007819,nm0000779
tt0007832,nm0117018
tt0007832,nm0000122
tt0007832,nm1176713
tt0007880,nm0117018
tt0007880,nm0000122
tt0007880,nm1176713
tt0007983,nm0927468
tt0008011,nm0547966
tt0008011,nm0869665
tt0008099,nm0000485
tt0008100,nm0584273
tt0008100,nm0647763
tt0008112,nm0000779
tt0008112,nm0730039
tt0008133,nm0000122
tt0008133,nm0117018
tt0008133,nm1176713
tt0008150,nm0534221
tt0008150,nm0210352
tt0008188,nm0534221
tt0008188,nm0001124
tt0008188,nm0364550
tt0008196,nm0122364
tt0008196,nm0547966
tt0008252,nm0283873
tt0008279,nm0304098
tt0008309,nm0245385
tt0008309,nm6791317
tt0008377,nm0369841
tt0008377,nm0730039
tt0008381,nm0547966
tt0008381,nm0828890
tt0008395,nm0866243
tt0008395,nm0901502
tt0008443,nm0309557
tt0008443,nm0547966
tt0008458,nm0140562
tt0008458,nm0926417
tt0008489,nm0395216
tt0008489,nm0446189
tt0008489,nm0696078
tt0008498,nm0256221
tt0008498,nm0376221
tt0008498,nm0002616
tt0008499,nm0547966
tt0008499,nm0859964
tt0008499,nm0927752
tt0008500,nm0000779
tt0008500,nm0730039
tt0008519,nm0001124
tt0008519,nm0534221
tt0008523,nm0000779
tt0008523,nm0000036
tt0008523,nm0730039
tt0008536,nm0088020
tt0008541,nm0205343
tt0008541,nm0662701
tt0008550,nm0265572
tt0008561,nm0081788
tt0008561,nm0169125
tt0008634,nm0387000
tt0008652,nm0002042
tt0008652,nm0515979
tt0008663,nm0406585
tt0008663,nm0596410
tt0008663,nm0803705
tt0008672,nm0596410
tt0008679,nm0547966
tt0008679,nm0841608
tt0008687,nm0878494
tt0008687,nm0412257
tt0008688,nm0594291
tt0008710,nm0432305
tt0008710,nm0481248
tt0008710,nm0803705
tt0008775,nm0139356
