"('mid',)","('pid',)"
tt0006115,nm0043018
tt0006145,nm0000779
tt0006177,nm0000122
tt0006182,nm0869665
tt0006206,nm0275421
tt0006296,nm0000779
tt0006309,nm0000122
tt0006313,nm0000122
tt0006327,nm0577654
tt0006333,nm0665737
tt0006349,nm0523932
tt0006357,nm0408937
tt0006405,nm0539718
tt0006414,nm0000122
tt0006449,nm0403319
tt0006482,nm0515979
tt0006494,nm0546917
tt0006494,nm0024464
tt0006509,nm0291548
tt0006509,nm0291387
tt0006517,nm0408436
tt0006517,nm0922304
tt0006517,nm0250445
tt0006517,nm0366689
tt0006517,nm0402489
tt0006517,nm0054977
tt0006517,nm0713787
tt0006548,nm0000122
tt0006562,nm0046082
tt0006589,nm0936767
tt0006614,nm0916665
tt0006614,nm0806565
tt0006617,nm0803705
tt0006664,nm0228746
tt0006668,nm0000779
tt0006684,nm0000122
tt0006688,nm0127511
tt0006689,nm0000122
tt0006731,nm0291387
tt0006731,nm0291548
tt0006736,nm0245385
tt0006745,nm0291548
tt0006745,nm0291387
tt0006753,nm0245385
tt0006764,nm0000779
tt0006780,nm0366586
tt0006780,nm0842521
tt0006780,nm0807742
tt0006801,nm0382476
tt0006809,nm0256221
tt0006826,nm0408937
tt0006864,nm0000428
tt0006886,nm0275421
tt0006978,nm0730018
tt0006997,nm0665163
tt0007047,nm0694260
tt0007098,nm0382476
tt0007108,nm0256221
tt0007145,nm0000122
tt0007162,nm0000122
tt0007177,nm0056799
tt0007177,nm0694632
tt0007183,nm0698839
tt0007194,nm0000122
tt0007257,nm0127511
tt0007260,nm0366586
tt0007264,nm0000122
tt0007309,nm0523932
tt0007338,nm0077928
tt0007340,nm0916665
tt0007361,nm0205986
tt0007367,nm0256221
tt0007368,nm0127511
tt0007433,nm0046082
tt0007439,nm0103853
tt0007459,nm0665163
tt0007476,nm0000122
tt0007476,nm0925118
tt0007507,nm0000122
tt0007522,nm0830249
tt0007530,nm0000779
tt0007558,nm0916665
tt0007558,nm0806565
tt0007567,nm0376396
tt0007610,nm0049995
tt0007613,nm0000122
tt0007617,nm0291387
tt0007617,nm0291548
tt0007624,nm0332531
tt0007686,nm0332531
tt0007709,nm0332531
tt0007720,nm0403319
tt0007755,nm0000406
tt0007761,nm0000779
tt0007764,nm0332531
tt0007801,nm0250053
tt0007802,nm0449789
tt0007802,nm0713163
tt0007802,nm0366950
tt0007819,nm0000779
tt0007832,nm0000122
tt0007880,nm0000122
tt0007983,nm0927468
tt0008011,nm0869665
tt0008099,nm0562004
tt0008100,nm0390479
tt0008112,nm0000779
tt0008133,nm0000122
tt0008150,nm0001124
tt0008188,nm0001124
tt0008188,nm0505354
tt0008196,nm0624714
tt0008212,nm0730018
tt0008252,nm0303120
tt0008279,nm0304098
tt0008309,nm0245385
tt0008377,nm0000779
tt0008381,nm0861336
tt0008395,nm0698839
tt0008395,nm0901502
tt0008401,nm0531759
tt0008401,nm0516001
tt0008443,nm0869665
tt0008458,nm0869665
tt0008489,nm0410271
tt0008498,nm0256221
tt0008499,nm0624714
tt0008500,nm0000779
tt0008519,nm0001124
tt0008523,nm0000036
tt0008523,nm0000779
tt0008536,nm0698839
tt0008541,nm0208657
tt0008550,nm0210352
tt0008561,nm0285684
tt0008634,nm0000406
tt0008639,nm0046082
tt0008652,nm0515979
tt0008663,nm0803705
tt0008672,nm0830249
tt0008679,nm0003193
tt0008687,nm0853336
tt0008688,nm0594291
tt0008710,nm0803705
tt0008775,nm0256221
tt0008800,nm0061955
tt0008811,nm0101038
tt0008827,nm0624714
tt0008843,nm0466099
tt0008844,nm0695456
tt0008854,nm0523932
tt0008874,nm0000779
tt0008879,nm0803705
tt0008884,nm0005803
tt0008884,nm0695456
tt0008891,nm0869665
tt0008892,nm0366586
tt0008907,nm0000122
tt0008930,nm0661844
tt0008950,nm0523932
tt0008955,nm0825225
tt0008961,nm0695456
tt0008975,nm0000779
tt0009014,nm0304098
tt0009018,nm0000122
tt0009026,nm0933368
tt0009045,nm0101038
tt0009045,nm0279404
tt0009062,nm0523932
tt0009086,nm0291548
tt0009088,nm0783865
tt0009099,nm0332531
tt0009105,nm0639891
tt0009109,nm0000428
tt0009123,nm0000779
tt0009150,nm0000428
tt0009153,nm0000406
tt0009171,nm0332531
tt0009241,nm0853336
tt0009246,nm0730018
tt0009316,nm0332531
tt0009326,nm0624714
tt0009356,nm0561739
tt0009369,nm0428059
tt0009369,nm0949648
tt0009389,nm0000779
tt0009434,nm0695456
tt0009440,nm0001124
tt0009466,nm0000779
tt0009475,nm0250445
tt0009522,nm0474487
tt0009559,nm0000428
tt0009608,nm0662032
tt0009611,nm0000122
tt0009620,nm0565560
tt0009629,nm0607864
tt0009629,nm0694260
tt0009652,nm0624714
tt0009678,nm0332531
tt0009682,nm0796657
tt0009694,nm0830249
tt0009701,nm0275421
tt0009732,nm0332531
tt0009737,nm0189076
tt0009796,nm0001124
tt0009878,nm0652650
tt0009887,nm0730018
tt0009892,nm0002177
